outdoor_seating,10
embankment,10
is_in:county,10
generator:method,10
is_in:city,10
tiger:zip_right_4,10
email,10
name:ja,10
health_speciality,10
SHAPE_STAr,9
noref,9
avgspeed,9
loc_name,9
SHAPE_STLe,9
roof:shape,9
OBJECTID,9
GENERIC,9
tiger:STATEFP,9
Zoning,9
unisex,9
website:official,9
tower:type,8
census:population,8
telescope:diameter,8
trade,8
exit_to:right,8
training,8
Attribution,8
junction:ref,8
fuel:octane_91,8
step_count,8
mtb:scale,8
generator:type,8
placement:backward,8
voltage-high,7
dogs,7
flag:name,7
ref:left,7
internet_access:fee,7
source_ref,7
flag:type,7
psv,7
local_ref,7
payment:litecoin,7
ford,7
delivery,7
voltage-low,7
fuel:octane_87,7
male,6
crossing:bell,6
FIXME:old_ref,6
source:pkey,6
ramp,6
ref:right,6
toilets:disposal,6
facility,6
female,6
recycling_type,6
old_name:vi,6
contact:yelp,5
name:zh,5
clothes,5
source:website,5
name:pt,5
recycling:clothes,5
mrosd:name_2,5
wetap:status,5
ramp:wheelchair,5
second_hand,5
wikidata,5
socket:chademo,5
quantity,5
monitoring:water_level,5
collection_times,5
drinking_water,5
floating,5
caltrans:type,4
notes,4
fuel:lpg,4
name:it,4
railway:ref:Amtrak,4
mrosd:point_of_interest,4
address,4
microbrewery,4
tiger:name_type_2,4
end_date,4
caltrans:dynsegpm,4
fuel:cng,4
addr:housenumber_2,4
addr:housenumber_1,4
name:am,4
mtb:scale:uphill,4
content,4
route,4
length,4
abandoned:highway,4
addr:floor,4
socket:type1,4
ref:Amtrak,4
payment:coins,4
board_type,4
lanes:both_ways,4
old_name:en,4
culvert,4
colour,4
gated,4
caltrans:district,4
recycling:cans,4
payment:american_express,4
gns:id,4
gnis:ftype,4
stars,4
courts,4
alt_name:vi,4
self_service,4
fuel:octane_89,4
icao,3
fireplace,3
is_in:continent,3
recycling:paper,3
crop,3
web,3
diet:vegetarian,3
vehicle,3
service:bicycle:chain_tool,3
name:ACE,3
attraction,3
drive_in,3
diet:vegan,3
tenant,3
lanes:backward:conditional,3
destination:ref:lanes,3
paved,3
hookah,3
tiger:name_direction_suffix_1,3
addr:suite,3
iata,3
toilets:position,3
free_flying:site,3
alt_name:en,3
par,3
ownership,3
website_1,3
seats,3
location,3
destination:lanes,3
artwork_type,3
health_specialty,3
name:Amtrak,3
automated,3
railway:ref:ACE,3
ref:ACE,3
maxstay,3
suite,2
source:destination,2
addr:street:source,2
name:etymology:wikidata,2
military,2
outerspatial:id,2
drinkable,2
kiosk,2
karaoke,2
donut,2
theatre:genre,2
toilets:access,2
hazard,2
healthcare,2
recycling:shoes,2
population:date,2
crossing:for,2
addr:housenumber_3,2
postal_code,2
name:Caltrain,2
food,2
recycling:plastic_bottles,2
name:ar,2
product,2
playground,2
old_amenity,2
protect_class,2
recycling:glass,2
SFBayTrail:agency,2
service:bicycle:pump,2
contents,2
bagel,2
protection_title,2
payment:none,2
medical,2
tactile_paving,2
social_facility,2
